date,value
2021-07-03 21,8121
2021-07-03 20,8074
2021-07-03 16,7745
2021-07-03 19,7638
2021-07-03 15,7285
2021-07-03 17,7062
2021-07-03 18,6879
2021-07-03 14,6049
2021-07-03 22,5949
2021-07-03 13,4227
2021-07-03 12,2914
2021-07-03 11,1842
2021-07-03 23,1178
2021-07-04 03,1102
2021-07-04 02,965
2021-07-04 14,863
2021-06-26 23,817
2021-07-03 10,787
2021-07-04 12,786
2021-07-04 13,753
2021-06-27 00,685
2021-07-04 04,651
2021-07-04 15,602
2021-07-04 11,572
2021-07-03 01,569
2021-07-04 16,544
2021-07-02 19,542
2021-07-02 21,496
2021-07-02 22,494
2021-06-27 01,493
2021-07-02 20,485
2021-07-03 02,471
2021-07-03 00,460
2021-07-02 23,439
2021-07-04 10,421
2021-07-04 17,421
2021-07-04 19,378
2021-07-04 05,372
2021-07-04 18,356
2021-07-02 16,341
2021-07-02 13,333
2021-07-02 15,314
2021-07-02 12,309
2021-07-05 00,307
2021-07-03 03,304
2021-07-02 17,300
2021-06-27 02,293
2021-07-04 22,251
2021-07-04 23,246
2021-07-02 14,245
2021-07-04 06,243
2021-07-04 20,236
2021-07-04 09,231
2021-07-04 21,225
2021-07-01 00,218
2021-07-03 09,208
2021-07-02 18,205
2021-06-30 00,185
2021-07-04 07,183
2021-06-30 21,182
2021-07-03 04,182
2021-06-27 12,181
2021-07-04 08,175
2021-07-05 01,171
2021-06-30 01,169
2021-06-27 14,166
2021-06-27 22,148
2021-06-27 03,147
2021-07-02 11,145
2021-07-05 02,138
2021-06-27 13,136
2021-07-01 20,129
2021-06-27 15,118
2021-06-28 01,114
2021-06-30 23,114
2021-06-27 17,113
2021-06-30 13,112
2021-06-27 21,112
2021-06-27 20,107
2021-06-30 22,103
2021-07-01 22,102
2021-06-30 17,102
2021-06-27 18,102
2021-06-28 00,100
2021-07-03 05,100
2021-07-05 03,96
2021-06-27 23,93
2021-07-01 19,93
2021-06-30 02,91
2021-06-28 22,91
2021-06-27 04,90
2021-06-30 20,89
2021-06-30 12,88
2021-06-30 19,87
2021-07-01 21,83
2021-06-27 11,79
2021-06-27 19,79
2021-07-01 23,78
2021-06-30 11,77
2021-06-30 14,77
2021-06-30 10,75
2021-06-28 21,74
2021-07-01 15,74
2021-07-03 07,72
2021-06-26 22,72
2021-06-30 18,71
2021-06-27 16,68
2021-06-28 17,66
2021-07-01 01,65
2021-07-03 08,65
2021-07-01 12,63
2021-07-01 14,62
2021-06-27 10,59
2021-07-01 13,59
2021-07-02 00,59
2021-07-03 06,58
2021-07-02 01,57
2021-07-01 16,53
2021-06-29 23,52
2021-07-02 02,52
2021-07-01 17,52
2021-06-29 20,52
2021-06-29 19,51
2021-06-30 16,51
2021-06-29 15,51
2021-06-28 14,51
2021-06-30 15,49
2021-06-28 12,48
2021-06-30 09,48
2021-07-02 10,48
2021-06-29 16,48
2021-07-01 11,48
2021-06-28 02,46
2021-07-01 10,46
2021-06-29 13,45
2021-06-28 15,44
2021-06-29 21,42
2021-06-28 16,40
2021-06-27 09,39
2021-06-29 12,39
2021-07-01 18,39
2021-06-28 10,38
2021-07-01 02,38
2021-06-28 20,37
2021-06-27 05,36
2021-06-29 17,35
2021-06-28 18,34
2021-06-28 13,34
2021-06-28 23,34
2021-07-05 06,32
2021-07-05 09,31
2021-06-29 18,30
2021-06-29 00,30
2021-06-30 03,29
2021-07-05 04,28
2021-07-02 09,27
2021-06-29 22,26
2021-06-29 11,26
2021-07-01 03,26
2021-06-27 06,25
2021-06-29 14,24
2021-07-02 05,23
2021-07-05 07,23
2021-06-27 08,23
2021-06-29 09,23
2021-06-28 09,22
2021-06-27 07,22
2021-06-28 03,21
2021-06-28 19,21
2021-07-05 05,21
2021-07-02 03,20
2021-07-05 08,19
2021-07-02 06,18
2021-06-28 11,16
2021-07-01 04,16
2021-06-29 02,14
2021-07-01 09,14
2021-06-28 04,14
2021-06-29 10,14
2021-06-29 01,14
2021-06-30 05,14
2021-06-21 05,13
2021-06-29 08,12
2021-06-29 03,12
2021-07-02 08,12
2021-07-02 04,11
2021-07-02 07,10
2021-06-29 06,9
2021-06-30 04,9
2021-07-01 08,8
2021-06-30 06,8
2021-06-28 08,8
2021-07-01 06,8
2021-06-28 05,8
2021-06-29 07,8
2021-06-29 04,7
2021-06-21 15,7
2021-06-30 08,6
2021-06-28 06,6
2021-07-01 05,6
2021-06-18 13,5
2021-06-26 14,5
2021-06-21 01,5
2021-06-21 14,4
2021-06-29 05,4
2021-06-23 06,3
2021-06-26 13,3
2021-06-26 08,3
2021-06-23 00,3
2021-06-21 17,3
2021-06-24 06,3
2021-06-24 19,3
2021-06-21 18,2
2021-06-28 07,2
2021-06-23 01,2
2021-06-18 11,2
2021-06-25 22,2
2021-06-26 15,2
2021-06-18 17,2
2021-06-21 16,2
2021-06-25 13,1
2021-06-21 11,1
2021-06-26 12,1
2021-06-22 20,1
2021-06-24 14,1
2021-06-22 00,1
2021-06-22 16,1
2021-06-19 23,1
2021-06-25 17,1
2021-06-19 20,1
2021-06-25 14,1
2021-06-22 01,1
2021-06-18 15,1
2021-06-25 00,1
2021-06-22 18,1
2021-06-23 12,1
2021-06-21 19,1
2021-06-30 07,1
2021-06-19 10,1
2021-06-18 16,1
2021-06-24 03,1
2021-06-21 23,1
2021-06-19 02,1
2021-07-01 07,1
2021-06-19 03,1
2021-06-22 23,1
2021-06-19 04,1
2021-06-24 21,1
2021-06-24 01,1
2021-06-21 22,1
2021-06-22 10,1
2021-06-26 17,1
2021-06-23 09,1
2021-06-22 19,1
2021-06-18 19,1
2021-06-22 15,1
2021-06-21 06,1
2021-06-26 21,1
2021-06-24 16,1
2021-06-20 16,1
